EmployeePPPER,Status,ZipCode,Sex,Eeoc,Shift,BaseRate,Grade,Training,LastEval,StartEval,Education,StartGrade,StartRate,Experience,EngagementIndex,CommitmentIndex,Unscheduled,Tenure,Age,EntryAge,CareerAge,CareerStage,ServiceLength,SalaryProg,JobLevelProg,AvgEval,LastPromotion,TotalEmployment
1,TERM,75018,F,WHITE,1,18.47,45,5000,1,2,5,40,15.66,0,2,4,7,17,48,21,38,3,5,0.17,0.29,1.5,17,17
2,ACTIVE,75002,F,WHITE,1,17.35,25,5000,4,0,3,21,14.44,1,10,9,4,14,36,22,36,3,5,0.21,0.29,2,2,15
3,ACTIVE,75018,F,WHITE,2,24.95,55,5000,2,3,6,48,22.13,5,0,3,10,29,54,26,54,4,6,0.1,0.24,2.5,11,34
4,ACTIVE,75062,F,WHITE,3,17.35,25,5000,4,1,3,19,11.65,3,3,6,5,12,36,24,36,3,5,0.48,0.5,2.5,12,15
5,ACTIVE,75020,F,WHITE,1,11.7,6,5000,0,5,1,5,6,0,8,6,7,29,44,15,44,3,6,0.2,0.03,2.5,11,29
6,TERM,75042,M,WHITE,1,22.43,58,5000,1,4,6,57,17.51,4,8,6,0,2,37,25,27,2,3,2.46,0.5,2.5,2,6
7,ACTIVE,75022,F,WHITE,1,11.4,16,5000,2,1,2,14,6,9,5,7,2,4,35,30,35,3,3,1.35,0.5,1.5,1,13
8,ACTIVE,NULL,F,WHITE,1,21.53,37,5000,7,3,4,34,18.08,7,10,9,2,14,43,28,43,3,5,0.25,0.21,5,1,21
9,TERM,75032,F,WHITE,1,8.76,63,5000,2,4,6,60,6,0,9,6,8,1,30,19,20,1,2,2.76,3,3,1,1
10,TERM,75022,F,WHITE,1,12.13,17,5000,6,4,2,10,8.31,8,8,6,0,17,53,29,46,3,5,0.22,0.41,5,10,25
11,TERM,75038,F,WHITE,1,15,37,5000,5,2,4,31,14.85,7,3,7,8,1,39,28,29,2,2,0.15,6,3.5,1,8
12,TERM,75012,F,WHITE,1,16.9,27,5000,6,1,3,19,15.64,19,8,8,6,12,57,40,53,4,5,0.11,0.67,3.5,12,31
13,TERM,75001,F,WHITE,2,6.68,5,5000,3,2,1,0,6,0,4,7,4,0,30,19,20,1,1,0.68,5,2.5,0,0
14,ACTIVE,75038,F,WHITE,1,17.35,25,5000,4,5,3,16,16.73,0,8,8,3,33,52,19,52,4,6,0.02,0.27,4.5,33,33
15,TERM,75038,F,WHITE,2,10.31,5,5000,2,1,1,2,7.18,27,7,7,9,17,73,48,65,4,5,0.18,0.18,1.5,17,44
16,TERM,75042,F,WHITE,1,5.52,3,3000,7,5,0,3,6,28,7,7,9,0,60,49,50,4,1,-0.48,0,6,0,28
17,ACTIVE,75028,F,WHITE,1,12.32,5,5000,2,1,1,0,6,0,5,4,10,11,30,19,30,2,5,0.57,0.45,1.5,2,11
18,TERM,75001,F,WHITE,1,11.81,6,5000,1,4,1,4,6,0,6,5,10,22,43,16,38,3,6,0.26,0.09,2.5,1,22
19,ACTIVE,75032,F,WHITE,1,17.35,25,5000,4,1,3,20,17.25,0,8,7,4,38,57,19,57,4,6,0,0.13,2.5,6,38
20,ACTIVE,75032,F,WHITE,1,21.53,37,5000,7,5,4,33,19.54,1,9,7,6,18,40,22,40,3,5,0.11,0.22,6,16,19
21,TERM,75042,F,WHITE,1,20.6,26,5000,6,0,3,25,18.3,26,5,7,8,5,54,47,51,4,4,0.46,0.2,3,5,31
22,ACTIVE,75032,F,WHITE,1,17.35,25,5000,4,4,3,19,15.9,3,9,5,1,15,39,24,39,3,5,0.1,0.4,4,15,18
23,TERM,75022,M,WHITE,3,9.29,63,5000,5,5,6,59,6,1,1,5,1,3,33,22,25,2,3,1.1,1.33,5,3,4
24,TERM,75018,F,WHITE,1,12.13,17,5000,6,5,2,14,6,0,5,6,3,26,53,20,46,3,6,0.24,0.12,5.5,6,26
25,ACTIVE,75038,F,WHITE,1,11.7,6,5000,0,3,1,5,9.86,3,0,0,4,19,43,24,43,3,5,0.1,0.05,1.5,1,22
26,TERM,75028,F,WHITE,1,26.27,64,5000,1,3,6,59,23.74,1,6,6,7,44,70,22,65,4,6,0.06,0.11,2,4,45
27,ACTIVE,75022,F,WHITE,1,21.53,37,5000,7,0,4,37,16.91,0,3,6,5,19,38,19,38,3,5,0.24,0,3.5,1,19
28,ACTIVE,75002,F,WHITE,1,21.53,37,5000,7,1,4,31,16.53,0,9,7,1,24,45,21,45,3,6,0.21,0.25,4,16,24
29,TERM,75055,F,WHITE,1,11.11,17,5000,9,4,2,9,2.85,8,1,5,9,18,57,29,47,3,5,0.46,0.44,6.5,7,26
30,ACTIVE,75001,F,WHITE,1,11.41,3,3000,4,1,0,6,7.46,5,2,4,9,33,60,26,60,4,6,0.12,-0.09,2.5,12,38
31,TERM,75020,F,WHITE,1,12.86,17,5000,9,0,2,11,7.89,11,8,5,10,7,45,32,39,3,4,0.71,0.86,4.5,7,18
32,ACTIVE,75022,M,WHITE,3,11.73,5,5000,9,0,1,4,6,22,4,2,9,17,60,43,60,4,5,0.34,0.06,4.5,17,39
33,TERM,75042,F,WHITE,1,16.91,37,5000,6,1,4,31,14.02,6,7,6,9,25,59,27,52,4,6,0.12,0.24,3.5,0,31
34,TERM,75038,F,WHITE,1,7.67,3,3000,3,2,0,1,6,29,0,1,5,4,64,50,54,4,3,0.42,0.5,2.5,1,33
35,TERM,75001,F,WHITE,1,5.4,3,3000,6,5,0,2,6,0,6,8,9,2,32,20,22,1,3,-0.3,0.5,5.5,2,2
36,ACTIVE,75018,F,WHITE,1,31.99,64,5000,7,1,6,59,28.81,0,7,8,2,38,59,21,59,4,6,0.08,0.13,4,9,38
37,ACTIVE,75062,F,WHITE,1,12.32,5,5000,2,5,1,2,6,11,4,4,2,18,50,32,50,4,5,0.35,0.17,3.5,10,29
38,TERM,75012,F,WHITE,1,46.89,95,5000,5,1,10,89,46.14,42,1,4,10,4,75,63,67,4,3,0.19,1.5,3,4,46
39,ACTIVE,75032,F,WHITE,1,30,45,5000,0,8,5,35,21.83,16,5,4,1,14,51,37,51,4,5,0.58,0.71,4,2,30
40,TERM,75062,F,WHITE,3,10.94,5,5000,5,5,1,3,5.03,16,5,4,9,29,71,37,66,4,6,0.2,0.07,5,2,45
40,TERM,75042,M,WHITE,3,17.36,37,5000,2,4,4,34,8.43,10,6,7,1,7,42,31,38,3,4,1.28,0.43,3,3,17
41,TERM,75062,F,WHITE,1,7.32,6,5000,4,3,1,2,6,0,1,4,4,3,29,18,21,1,3,0.44,1.33,3.5,1,3
42,TERM,75012,M,WHITE,1,8.76,63,5000,2,4,6,54,6,6,1,1,6,2,38,27,29,2,3,1.38,4.5,3,2,8
43,TERM,75012,F,WHITE,1,15.22,18,5000,4,2,2,16,6,11,3,6,4,11,48,32,43,3,5,0.84,0.18,3,11,22
44,ACTIVE,75018,F,WHITE,1,11.73,5,5000,9,1,1,4,4.55,4,6,8,6,11,36,25,36,3,5,0.65,0.09,5,1,15
45,ACTIVE,75032,F,WHITE,1,12.77,6,5000,7,2,1,1,6,23,8,5,5,15,59,44,59,4,5,0.45,0.33,4.5,4,38
46,ACTIVE,75042,F,WHITE,1,12.85,8,5000,3,0,1,2,10.38,0,10,7,1,25,45,19,45,3,6,0.1,0.24,1.5,1,25
47,ACTIVE,75038,F,WHITE,1,12.77,6,5000,7,1,1,2,7.81,4,2,1,2,33,58,25,58,4,6,0.15,0.12,4,5,37
48,ACTIVE,75038,F,WHITE,1,12.77,6,5000,7,2,1,2,6,0,2,5,10,35,49,15,49,3,6,0.19,0.11,4.5,35,35
49,ACTIVE,75028,F,WHITE,1,26.3,44,5000,7,7,4,42,20.67,0,9,5,1,33,53,20,53,4,6,0.17,0.06,7,4,33
50,ACTIVE,75055,F,WHITE,1,10.7,3,3000,2,2,0,0,6,45,5,5,3,11,77,66,77,4,5,0.43,0.27,2,11,56
51,ACTIVE,75022,F,WHITE,2,12.06,6,5000,2,4,1,6,6,32,10,10,5,11,64,53,64,4,5,0.55,0,3,11,43
52,TERM,75022,M,WHITE,1,21.55,58,5000,10,6,6,57,13.84,2,4,3,2,2,34,23,24,1,3,3.86,0.5,8,2,4
53,TERM,75022,F,WHITE,2,15,37,5000,5,5,4,35,8.87,1,9,8,6,6,38,22,28,2,4,1.02,0.33,5,6,7
54,ACTIVE,75012,F,WHITE,1,22.92,44,5000,8,2,4,35,19,0,6,6,8,27,48,21,48,3,6,0.15,0.33,5,20,27
55,ACTIVE,75022,F,WHITE,1,17.35,25,5000,4,5,3,16,15.59,5,3,3,4,18,44,26,44,3,5,0.1,0.5,4.5,18,23
56,TERM,75042,F,WHITE,1,14.16,17,5000,1,1,2,9,7.81,19,3,6,0,10,53,40,50,4,5,0.64,0.8,1,3,29
57,TERM,75002,F,WHITE,2,11.63,5,5000,8,1,1,5,5.66,9,6,8,0,1,32,30,30,2,2,5.97,0,4.5,1,10
58,TERM,75028,F,WHITE,1,6.64,1,1000,7,1,0,8,6,0,3,2,6,5,28,17,22,1,4,0.13,-1.4,4,5,5
59,ACTIVE,75001,F,WHITE,1,11.73,5,5000,9,4,1,4,3.24,27,3,4,5,14,62,48,62,4,5,0.61,0.07,6.5,12,41
60,ACTIVE,75038,F,WHITE,1,19.12,28,5000,5,2,3,23,12.77,0,8,7,3,19,36,18,36,3,5,0.33,0.26,3.5,6,19
61,TERM,75002,F,WHITE,1,12.13,8,5000,7,3,1,1,11.12,33,3,6,6,22,81,54,76,4,6,0.05,0.32,5,22,55
62,TERM,75055,F,WHITE,2,14.16,17,5000,1,7,2,11,12.56,4,1,1,4,24,52,25,49,3,6,0.07,0.25,4,3,28
63,ACTIVE,75022,F,WHITE,1,12.77,6,5000,7,2,1,4,6,14,7,8,1,15,49,35,49,3,5,0.45,0.13,4.5,12,29
64,ACTIVE,75028,F,WHITE,1,15.02,17,5000,5,5,2,14,12.2,9,6,7,1,19,49,30,49,3,5,0.15,0.16,5,9,28
65,ACTIVE,75028,F,WHITE,1,12.32,5,5000,2,0,1,4,5.94,14,5,4,4,17,52,35,52,4,5,0.38,0.06,1,4,31
66,TERM,75042,F,WHITE,3,17.42,37,5000,5,4,4,29,9.87,21,0,2,3,7,55,42,49,3,4,1.08,1.14,4.5,7,28
67,ACTIVE,75032,M,WHITE,1,27.91,49,5000,8,7,5,41,21.88,9,4,2,2,31,62,30,62,4,6,0.19,0.26,7.5,31,40
68,TERM,75018,F,WHITE,1,10.61,7,5000,4,4,1,4,6.9,21,8,7,2,8,59,42,51,4,4,0.46,0.38,4,2,29
69,ACTIVE,75020,F,WHITE,2,12.32,5,5000,2,2,1,0,7.23,10,10,10,3,11,42,31,42,3,5,0.46,0.45,2,2,21
70,ACTIVE,75011,F,WHITE,1,14.55,19,5000,6,1,2,12,12.81,0,7,8,9,13,34,20,34,2,5,0.13,0.54,3.5,1,13
71,TERM,75018,F,WHITE,1,19.67,39,5000,7,6,4,30,19.17,5,6,4,5,32,62,26,59,4,6,0.02,0.28,6.5,19,37
72,TERM,75028,F,WHITE,3,9.72,5,5000,9,7,1,1,6,24,10,10,0,9,63,45,54,4,4,0.41,0.44,8,9,33
73,TERM,75028,F,WHITE,2,9.8,6,5000,9,0,1,3,6,14,5,3,4,32,76,35,67,4,6,0.12,0.09,4.5,1,46
74,TERM,75032,F,WHITE,1,11.44,17,5000,4,4,2,13,10.52,7,6,4,4,6,44,28,34,2,4,0.15,0.67,4,1,13
75,ACTIVE,75042,F,WHITE,1,16.67,21,5000,0,9,2,15,10.62,2,9,8,10,15,39,23,39,3,5,0.4,0.4,4.5,15,17
76,ACTIVE,75022,F,WHITE,1,12.32,5,5000,2,7,1,5,6,2,8,5,5,20,43,23,43,3,6,0.32,0,4.5,1,22
77,TERM,75002,M,WHITE,1,9.09,3,3000,7,3,0,7,5.23,4,7,7,7,20,55,25,45,3,6,0.19,-0.2,5,20,24
78,ACTIVE,75022,F,WHITE,1,21.53,37,5000,7,0,4,30,13.09,45,0,4,9,3,69,66,69,4,3,2.81,2.33,3.5,3,48
79,TERM,75028,F,WHITE,1,4.25,1,1000,4,3,0,1,6,0,7,5,3,1,28,17,18,1,2,-1.75,0,3.5,1,1
80,ACTIVE,75012,F,WHITE,1,12.77,6,5000,7,3,1,2,7.95,0,7,8,2,33,51,18,51,4,6,0.15,0.12,5,29,33
81,TERM,75018,M,WHITE,1,17.79,1,1000,8,1,0,4,16.05,6,1,3,7,35,70,27,63,4,6,0.05,-0.09,4.5,35,41
82,ACTIVE,75001,F,WHITE,1,12.32,5,5000,2,4,1,4,7.52,10,5,7,2,24,55,31,55,4,6,0.2,0.04,3,14,34
83,ACTIVE,75018,F,WHITE,1,21.48,35,5000,2,5,4,33,17.5,6,4,5,2,25,52,27,52,4,6,0.16,0.08,3.5,14,31
84,ACTIVE,75011,F,WHITE,1,12.77,6,5000,7,7,1,5,6,0,3,5,7,26,44,18,44,3,6,0.26,0.04,7,7,26
85,TERM,75042,F,WHITE,1,9.6,9,5000,6,6,1,4,6,0,7,5,9,19,49,20,39,3,5,0.19,0.26,6,19,19
86,ACTIVE,75032,F,WHITE,1,13.51,8,5000,8,3,1,7,12.19,0,4,2,3,26,43,18,43,3,6,0.05,0.04,5.5,26,26
87,TERM,75028,F,WHITE,3,11.86,5,5000,9,0,1,2,6,12,1,5,9,35,69,33,68,4,6,0.17,0.09,4.5,14,47
88,ACTIVE,75028,F,WHITE,1,21.53,37,5000,7,0,4,30,13.66,3,5,7,7,42,65,24,65,4,6,0.19,0.17,3.5,42,45
89,ACTIVE,75022,F,WHITE,1,12.77,6,5000,7,2,1,2,7.87,0,1,3,3,23,40,17,40,3,6,0.21,0.17,4.5,13,23
90,TERM,75002,F,WHITE,1,11.73,5,5000,9,5,1,3,6,9,2,4,1,20,51,30,50,4,6,0.29,0.1,7,6,29
91,ACTIVE,75001,F,WHITE,1,12.32,5,5000,2,3,1,4,8.37,25,2,5,6,25,71,46,71,4,6,0.16,0.04,2.5,25,50
92,ACTIVE,75055,F,WHITE,1,22.87,48,5000,8,3,5,47,20.11,0,7,6,6,32,51,19,51,4,6,0.09,0.03,5.5,2,32
93,TERM,75020,M,WHITE,1,8.76,63,5000,2,1,6,59,6,19,10,6,3,2,51,40,42,3,3,1.38,2,1.5,2,21
94,TERM,75042,F,WHITE,3,15.02,17,5000,5,4,2,9,8.72,21,5,6,5,21,64,42,63,4,6,0.3,0.38,4.5,21,42
95,ACTIVE,75022,F,WHITE,1,15.02,17,5000,5,4,2,7,14.87,22,9,9,0,13,55,43,55,4,5,0.01,0.77,4.5,4,35
96,TERM,75011,F,WHITE,1,13.73,37,5000,8,1,4,27,4.35,25,0,4,7,1,57,46,47,3,2,9.38,10,4.5,1,26
97,ACTIVE,75028,F,WHITE,3,12.32,5,5000,2,6,1,2,5.11,10,2,5,2,28,59,31,59,4,6,0.26,0.11,4,4,38
98,ACTIVE,75028,F,WHITE,2,15.02,17,5000,5,0,2,16,8.94,14,2,5,4,34,69,35,69,4,6,0.18,0.03,2.5,34,48
99,TERM,75018,M,WHITE,1,9.36,3,3000,8,6,0,2,6,0,8,7,5,31,60,20,51,4,6,0.11,0.03,7,31,31
100,ACTIVE,75038,F,WHITE,1,21.53,37,5000,7,0,4,33,15.33,13,0,3,2,14,48,34,48,3,5,0.44,0.29,3.5,1,27
101,TERM,75042,F,WHITE,1,10.23,3,3000,1,4,0,2,9.6,17,1,5,0,27,70,38,65,4,6,0.02,0.04,2.5,27,44
102,ACTIVE,75002,F,WHITE,2,12.32,5,5000,2,2,1,0,6,3,2,4,4,20,44,24,44,3,6,0.32,0.25,2,2,23
103,ACTIVE,75001,F,WHITE,1,15.02,17,5000,5,3,2,10,7.86,2,1,4,7,35,58,23,58,4,6,0.2,0.2,4,17,37
104,TERM,75032,F,WHITE,2,6.88,5,5000,4,2,1,4,6,11,6,7,4,1,43,32,33,2,2,0.88,1,3,1,12
105,TERM,75018,M,WHITE,3,9.29,63,5000,5,3,6,56,6,6,5,7,7,3,38,27,30,2,3,1.1,2.33,4,3,9
106,ACTIVE,75032,F,WHITE,1,17.35,25,5000,4,1,3,19,11.83,1,9,6,2,26,48,22,48,3,6,0.21,0.23,2.5,26,27
107,TERM,75028,F,WHITE,1,19.51,37,5000,2,1,4,29,19.28,18,4,2,0,7,50,39,47,3,4,0.03,1.14,1.5,1,25
108,ACTIVE,75020,F,WHITE,1,11.41,3,3000,4,1,0,0,5,2,1,4,8,18,41,23,41,3,5,0.36,0.17,2.5,18,20
109,TERM,75042,F,WHITE,1,5.61,1,1000,6,3,0,8,6,0,0,4,7,2,28,17,19,1,3,-0.2,-3.5,4.5,2,2
110,TERM,75028,M,WHITE,1,8.42,9,5000,6,2,1,4,6,9,9,5,4,1,41,30,31,2,2,2.42,5,4,1,10
111,TERM,75032,F,WHITE,1,19.09,41,5000,3,1,4,35,16.91,26,4,4,6,0,48,47,47,3,1,2.18,6,2,0,26
